step,energy,theta0,theta1,theta2,theta3,theta4,theta5
29,-1.1597604352263018,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,1.05,0.0,0.0
30,-1.0570614603930468,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,-1.568034,0.0,0.0
31,-1.2122394863695038,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,-0.568033974844,0.0,0.0
32,-1.2308073350320503,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.431966,0.0,0.0
33,-1.244584276582454,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.037034658972548345,0.0,0.0
34,-1.2445846999512984,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039141526778380044,0.0,0.0
35,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,0.0,0.0
36,-1.2445846979630646,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.03935761041539028,0.0,0.0
37,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,0.0,0.0
38,-1.239438291386976,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,1.0,0.0
39,-1.2328608591921664,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.618034,0.0
40,-1.242513802697973,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-0.618033974844,0.0
41,-1.2437779022216142,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,0.381966,0.0
42,-1.244584669419159,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-0.002337662807924086,0.0
43,-1.2445847000070398,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,1.4226437424474569e-05,0.0
44,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.167911278559888e-09,0.0
45,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-5.83955639279944e-10,0.0
46,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-8.07006838993147e-10,0.0
47,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-9.448600641566968e-10,0.0
48,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.030058044317426e-09,0.0
49,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.0827132927880822e-09,0.0
50,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1152560266213957e-09,0.0
51,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,0.0
52,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,0.0
53,-1.2393605431147632,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,1.0
54,-1.2326837438012423,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-1.618034
55,-1.2424825170696663,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-0.618033974844
56,-1.243765713692791,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,0.381966
57,-1.244584668957042,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-0.0023376639185729822
