gamma,beta,expected_cut,approximation_ratio,top_measurement,top_probability
1.2566370614359172,0.23561944901923448,1.577007387135096,0.788503693567548,001,0.131417282261258
1.2566370614359172,0.3141592653589793,1.4505127457812104,0.7252563728906052,000,0.13737181355469735
1.2566370614359172,0.39269908169872414,1.2624575663287496,0.6312287831643748,000,0.18438560841781257
1.2566370614359172,0.47123889803846897,1.0312500000000002,0.5156250000000001,000,0.24218749999999997
1.2566370614359172,0.5497787143782138,0.7795222543050588,0.3897611271525294,000,0.30511943642373524
1.2566370614359172,0.6283185307179586,0.5319151948828814,0.2659575974414407,000,0.3670212012792797
1.2566370614359172,0.7068583470577035,0.3126663258895375,0.15633316294476876,000,0.42183341852761563
1.2566370614359172,0.7853981633974483,0.14323725421878947,0.07161862710939473,000,0.4641906864453026
1.2566370614359172,0.8639379797371931,0.04021287788752699,0.020106438943763495,000,0.48994678052811824
1.2566370614359172,0.9424777960769379,0.013677940664092104,0.006838970332046052,000,0.49658051483397697
1.2566370614359172,1.0210176124166828,0.06622986708369336,0.03311493354184668,000,0.48344253322907665
1.2566370614359172,1.0995574287564276,0.1927245084375787,0.09636225421878936,000,0.4518188728906053
1.2566370614359172,1.1780972450961724,0.3807796878900399,0.19038984394501995,000,0.40480507802749005
1.2566370614359172,1.2566370614359172,0.6119872542187892,0.3059936271093946,000,0.34700318644530265
1.2566370614359172,1.335176877775662,0.8637149999137305,0.43185749995686523,000,0.2840712500215674
1.2566370614359172,1.413716694115407,1.1113220593359079,0.5556610296679539,000,0.22216948516602303
1.2566370614359172,1.4922565104551517,1.3305709283292524,0.6652854641646262,000,0.16735726791768693
1.2566370614359172,1.5707963267948966,1.5,0.75,000,0.125
1.413716694115407,0.0,1.5,0.75,000,0.125
1.413716694115407,0.07853981633974483,1.535809313554697,0.7679046567773485,001,0.12798410946289143
1.413716694115407,0.15707963267948966,1.4964947348911077,0.7482473674455539,000,0.12587631627722304
1.413716694115407,0.23561944901923448,1.3859046488896,0.6929523244448,000,0.15352383777759993
1.413716694115407,0.3141592653589793,1.2148643836944388,0.6074321918472194,000,0.1962839040763903
1.413716694115407,0.39269908169872414,1.0001165521705282,0.5000582760852641,000,0.24997086195736798
1.413716694115407,0.47123889803846897,0.7626821683035512,0.3813410841517756,000,0.30932945792411226
1.413716694115407,0.5497787143782138,0.525802963889035,0.2629014819445175,000,0.3685492590277412
1.413716694115407,0.6283185307179586,0.3126663258895375,0.15633316294476876,000,0.42183341852761563
1.413716694115407,0.7068583470577035,0.14413555344272694,0.07206777672136347,000,0.4639661116393183
1.413716694115407,0.7853981633974483,0.03670761277863483,0.018353806389317415,000,0.4908230968053413
1.413716694115407,0.8639379797371931,0.0008982992239374662,0.0004491496119687331,000,0.49977542519401563
1.413716694115407,0.9424777960769379,0.04021287788752698,0.02010643894376349,000,0.48994678052811824
1.413716694115407,1.0210176124166828,0.15080296388903455,0.07540148194451728,000,0.4622992590277414
1.413716694115407,1.0995574287564276,0.3218432290841959,0.16092161454209794,000,0.41953919272895107
1.413716694115407,1.1780972450961724,0.5365910606081068,0.2682955303040534,000,0.3658522348479733
1.413716694115407,1.2566370614359172,0.7740254444750836,0.3870127222375418,000,0.30649363888122905
1.413716694115407,1.335176877775662,1.0109046488896003,0.5054523244448001,000,0.24727383777759998
1.413716694115407,1.413716694115407,1.2240412868890975,0.6120206434445488,000,0.1939896782777257
1.413716694115407,1.4922565104551517,1.3925720593359077,0.6962860296679538,000,0.15185698516602303
1.413716694115407,1.5707963267948966,1.5,0.75,000,0.125
1.5707963267948966,0.0,1.5,0.75,000,0.125
1.5707963267948966,0.07853981633974483,1.463292387221365,0.7316461936106825,000,0.1341769031946587
1.5707963267948966,0.15707963267948966,1.3567627457812104,0.6783813728906052,000,0.16080931355469735
1.5707963267948966,0.23561944901923448,1.190838939219355,0.5954194696096775,000,0.20229026519516122
1.5707963267948966,0.3141592653589793,0.9817627457812108,0.4908813728906054,000,0.25455931355469735
1.5707963267948966,0.39269908169872414,0.7499999999999999,0.37499999999999994,000,0.31250000000000006
1.5707963267948966,0.47123889803846897,0.5182372542187894,0.2591186271093947,000,0.3704406864453026
1.5707963267948966,0.5497787143782138,0.30916106078064554,0.15458053039032277,000,0.4227097348048386
1.5707963267948966,0.6283185307179586,0.1432372542187894,0.0716186271093947,000,0.46419068644530265
1.5707963267948966,0.7068583470577035,0.036707612778634865,0.018353806389317433,000,0.4908230968053413
1.5707963267948966,0.7853981633974483,1.540743955509789e-32,7.703719777548945e-33,000,0.5
1.5707963267948966,0.8639379797371931,0.036707612778634796,0.018353806389317398,000,0.4908230968053413
1.5707963267948966,0.9424777960769379,0.14323725421878938,0.07161862710939469,000,0.46419068644530265
1.5707963267948966,1.0210176124166828,0.3091610607806449,0.15458053039032246,000,0.42270973480483875
1.5707963267948966,1.0995574287564276,0.5182372542187894,0.2591186271093947,000,0.37044068644530265
1.5707963267948966,1.1780972450961724,0.7499999999999999,0.37499999999999994,000,0.31250000000000006
1.5707963267948966,1.2566370614359172,0.9817627457812106,0.4908813728906053,000,0.2545593135546974
1.5707963267948966,1.335176877775662,1.1908389392193548,0.5954194696096774,000,0.20229026519516136
1.5707963267948966,1.413716694115407,1.3567627457812104,0.6783813728906052,000,0.16080931355469735
1.5707963267948966,1.4922565104551517,1.463292387221365,0.7316461936106825,000,0.1341769031946587
1.5707963267948966,1.5707963267948966,1.5,0.75,000,0.125
1.7278759594743862,0.0,1.5,0.75,000,0.125
1.7278759594743862,0.07853981633974483,1.3925720593359079,0.6962860296679539,000,0.151856985166023
1.7278759594743862,0.15707963267948966,1.2240412868890977,0.6120206434445489,000,0.19398967827772556
1.7278759594743862,0.23561944901923448,1.0109046488896003,0.5054523244448001,000,0.24727383777759993
1.7278759594743862,0.3141592653589793,0.774025444475084,0.387012722237542,000,0.30649363888122905
1.7278759594743862,0.39269908169872414,0.5365910606081069,0.26829553030405345,000,0.3658522348479733
1.7278759594743862,0.47123889803846897,0.32184322908419616,0.16092161454209808,000,0.41953919272895096
1.7278759594743862,0.5497787143782138,0.15080296388903483,0.07540148194451742,000,0.46229925902774127
1.7278759594743862,0.6283185307179586,0.04021287788752698,0.02010643894376349,000,0.48994678052811824
1.7278759594743862,0.7068583470577035,0.0008982992239374593,0.00044914961196872963,000,0.49977542519401563
1.7278759594743862,0.7853981633974483,0.03670761277863481,0.018353806389317405,000,0.4908230968053413
1.7278759594743862,0.8639379797371931,0.14413555344272694,0.07206777672136347,000,0.4639661116393183
1.7278759594743862,0.9424777960769379,0.31266632588953724,0.15633316294476862,000,0.4218334185276157
1.7278759594743862,1.0210176124166828,0.5258029638890345,0.26290148194451723,000,0.3685492590277414
1.7278759594743862,1.0995574287564276,0.7626821683035505,0.38134108415177526,000,0.30932945792411237
1.7278759594743862,1.1780972450961724,1.0001165521705278,0.5000582760852639,000,0.24997086195736806
1.7278759594743862,1.2566370614359172,1.2148643836944388,0.6074321918472194,000,0.19628390407639035
1.7278759594743862,1.335176877775662,1.3859046488895999,0.6929523244447999,000,0.1535238377776
1.7278759594743862,1.413716694115407,1.4964947348911077,0.7482473674455539,000,0.12587631627722304
1.7278759594743862,1.4922565104551517,1.5358093135546969,0.7679046567773484,001,0.12798410946289143
1.7278759594743862,1.5707963267948966,1.5,0.75,000,0.125
1.8849555921538759,0.0,1.4999999999999998,0.7499999999999999,000,0.12500000000000003
1.8849555921538759,0.07853981633974483,1.3305709283292522,0.6652854641646261,000,0.16735726791768699
1.8849555921538759,0.15707963267948966,1.1113220593359079,0.5556610296679539,000,0.22216948516602303
1.8849555921538759,0.23561944901923448,0.8637149999137307,0.43185749995686534,000,0.28407125002156736
1.8849555921538759,0.3141592653589793,0.6119872542187893,0.30599362710939465,000,0.34700318644530265
1.8849555921538759,0.39269908169872414,0.3807796878900397,0.19038984394501984,000,0.4048050780274901
